Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
20 Microns,20MICRONS,Mining / Minerals / Metals,777.49,738.43,56.16,51.8,95.24,95.24,109.59,15.89,13.59,7.39,21.7,792.37,Moderate Profitability
21st Cent. Mgmt.,21STCENMGM,Finance & Investments,34.92,11.94,32.23,9.93,32.98,32.98,33.02,30.7,94.27,92.3,73.0,73.96,High Profitability
360 ONE,360ONE,Finance & Investments,2920.91,2245.61,804.21,717.01,1651.99,1651.99,1708.63,22.41,58.37,27.53,14.47,36627.84,High Profitability
3B Blackbio,__NA__,Healthcare,74.12,69.24,32.1,28.49,44.45,44.45,45.51,38.13,44.5,43.31,20.95,1014.49,High Profitability
3C IT Solutions,__NA__,Computers - Software - Medium / Small,61.93,,1.14,,3.91,3.91,4.2,31.67,5.17,1.84,25.63,26.5,Low Profitability
3i Infotech,3IINFOLTD,Computers - Software - Medium / Small,813.88,807.3,-298.27,-226.46,-37.23,-37.23,-10.08,-17.63,-1.65,-9.04,-6.65,621.54,Loss-making
3M India,3MINDIA,Diversified - Large,3926.76,3880.51,536.27,498.31,721.51,721.51,773.34,476.05,17.98,13.66,33.08,41890.05,Moderate Profitability
3P Land Hold.,3PLAND,Finance & Investments,3.56,3.14,1.81,1.72,2.42,2.42,2.51,1.01,70.51,50.84,2.94,68.73,High Profitability
52 Weeks Enter.,__NA__,Entertainment / Electronic Media Software,0.28,0.28,0.17,0.12,0.17,0.17,0.17,0.05,60.71,60.71,0.87,5.88,High Profitability
5Paisa Capital,5PAISA,Finance & Investments,394.57,372.3,54.44,63.08,100.7,100.7,110.23,17.45,27.9,13.8,13.35,1607.41,Moderate Profitability
63 Moons Tech.,63MOONS,Computers - Software - Medium / Small,472.11,546.17,209.76,179.83,214.87,214.87,245.16,48.29,20.59,44.43,6.7,1743.12,High Profitability
7NR Retail Ltd,__NA__,Trading,11.62,21.0,-1.11,-1.09,-1.03,-1.03,-0.76,-0.4,-11.62,-9.55,-3.12,14.66,Loss-making
7Seas Enter.,__NA__,Computers - Software - Medium / Small,11.79,9.7,0.96,0.83,1.25,1.25,1.64,0.51,13.91,8.14,18.36,112.65,Moderate Profitability
A B B,ABB,Electric Equipment,11115.67,10446.52,1456.45,1242.05,1962.37,1682.83,1802.75,68.73,15.92,11.94,30.69,181308.81,Moderate Profitability
A B Infrabuild,ABINFRA,Construction,183.81,,11.42,,21.19,21.19,24.68,2.3,13.06,6.37,31.33,275.59,Moderate Profitability
A B M Internatl.,ABMINTLLTD,Trading,93.64,101.07,-3.42,0.21,-4.02,-4.02,-3.98,-3.64,-4.77,-3.65,-18.65,58.33,Loss-making
A F Enterprises,__NA__,Trading,8.5,23.5,-0.01,-2.27,-0.55,-0.55,0.56,0.0,-9.29,-8.71,-1.67,41.46,Loss-making
A G Universal,AGUL,Trading,78.37,,1.92,,4.08,4.08,5.39,3.5,6.14,2.45,17.4,35.31,Low Profitability
A K Spintex,__NA__,Textiles - Processing,117.24,119.02,8.45,8.19,12.14,12.14,19.01,16.79,16.18,7.21,28.05,130.54,Moderate Profitability
A R C Finance,__NA__,Finance & Investments,9.24,5.97,0.27,-0.23,0.46,0.46,0.66,0.01,7.14,2.92,0.69,59.1,Low Profitability
A-1 Acid,__NA__,Trading,206.14,217.34,1.1,1.42,2.47,2.47,6.06,0.96,-0.15,0.53,4.08,397.91,Low Profitability
A.K.Capital Serv,__NA__,Finance & Investments,518.54,488.74,92.52,87.08,318.56,318.56,327.02,138.95,62.97,17.84,9.46,695.64,High Profitability
A2Z Infra Engg.,A2ZINFRA,Engineering - Turnkey Services,388.49,381.22,-7.36,-70.59,-55.99,-55.99,-50.81,-0.32,-22.8,-15.45,-19.96,386.76,Loss-making
AA Plus Trade,__NA__,Trading,19.95,,0.51,,0.73,0.73,0.76,0.21,-0.95,2.66,4.9,48.65,Low Profitability
AAA Technologies,AAATECH,Computers - Software - Medium / Small,23.79,26.39,3.21,3.91,4.3,4.3,5.16,2.5,17.95,13.49,16.12,142.24,Moderate Profitability
Aadhar Hsg. Fin.,AADHARHFC,Finance - Housing,2586.81,,749.64,,1946.28,1946.28,1967.26,18.99,76.04,28.98,11.36,17619.49,High Profitability
